IMAGE 215520 dd3ed6787024a0794fdca1cfa7526f27ffc1bb5c71dd02c3b24242b910f34aaf
STAGE openvela 0x40400000 215520
CRC VERIFIED 4096/215520 (1.2s)
CRC VERIFIED 8192/215520 (2.4s)
CRC VERIFIED 12288/215520 (3.6s)
CRC VERIFIED 16384/215520 (4.8s)
CRC VERIFIED 20480/215520 (6.0s)
CRC VERIFIED 24576/215520 (7.2s)
CRC VERIFIED 28672/215520 (8.4s)
CRC VERIFIED 32768/215520 (9.7s)
CRC VERIFIED 36864/215520 (10.8s)
CRC VERIFIED 40960/215520 (12.0s)
CRC VERIFIED 45056/215520 (13.3s)
CRC VERIFIED 49152/215520 (14.5s)
CRC VERIFIED 53248/215520 (15.7s)
CRC VERIFIED 57344/215520 (16.9s)
CRC VERIFIED 61440/215520 (18.1s)
CRC VERIFIED 65536/215520 (19.3s)
CRC VERIFIED 69632/215520 (20.5s)
CRC VERIFIED 73728/215520 (21.7s)
CRC VERIFIED 77824/215520 (22.9s)
CRC VERIFIED 81920/215520 (24.1s)
CRC VERIFIED 86016/215520 (25.3s)
CRC VERIFIED 90112/215520 (26.5s)
CRC VERIFIED 94208/215520 (27.7s)
CRC VERIFIED 98304/215520 (28.9s)
CRC VERIFIED 102400/215520 (30.1s)
CRC VERIFIED 106496/215520 (31.3s)
CRC VERIFIED 110592/215520 (32.5s)
CRC VERIFIED 114688/215520 (33.7s)
CRC VERIFIED 118784/215520 (34.9s)
CRC VERIFIED 122880/215520 (36.1s)
CRC VERIFIED 126976/215520 (37.3s)
CRC VERIFIED 131072/215520 (38.5s)
CRC VERIFIED 135168/215520 (39.8s)
CRC VERIFIED 139264/215520 (41.0s)
CRC VERIFIED 143360/215520 (42.2s)
CRC VERIFIED 147456/215520 (43.4s)
CRC VERIFIED 151552/215520 (44.6s)
CRC VERIFIED 155648/215520 (45.8s)
CRC VERIFIED 159744/215520 (47.0s)
CRC VERIFIED 163840/215520 (48.2s)
CRC VERIFIED 167936/215520 (49.4s)
CRC VERIFIED 172032/215520 (50.7s)
CRC VERIFIED 176128/215520 (51.9s)
CRC VERIFIED 180224/215520 (53.1s)
CRC VERIFIED 184320/215520 (54.3s)
CRC VERIFIED 188416/215520 (55.2s)
CRC VERIFIED 192512/215520 (55.9s)
CRC VERIFIED 196608/215520 (57.1s)
CRC VERIFIED 200704/215520 (58.3s)
CRC VERIFIED 204800/215520 (59.5s)
CRC VERIFIED 208896/215520 (60.4s)
CRC VERIFIED 212992/215520 (61.0s)
CRC VERIFIED 215520/215520 (61.4s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (61.4s)
CRC VERIFIED 8192/193224 (61.4s)
CRC VERIFIED 12288/193224 (61.4s)
CRC VERIFIED 16384/193224 (61.5s)
CRC VERIFIED 20480/193224 (61.5s)
CRC VERIFIED 24576/193224 (61.5s)
CRC VERIFIED 28672/193224 (61.5s)
CRC VERIFIED 32768/193224 (61.5s)
CRC VERIFIED 36864/193224 (61.5s)
CRC VERIFIED 40960/193224 (61.5s)
CRC VERIFIED 45056/193224 (61.6s)
CRC VERIFIED 49152/193224 (61.6s)
CRC VERIFIED 53248/193224 (61.6s)
CRC VERIFIED 57344/193224 (61.6s)
CRC VERIFIED 61440/193224 (61.6s)
CRC VERIFIED 65536/193224 (61.6s)
CRC VERIFIED 69632/193224 (61.7s)
CRC VERIFIED 73728/193224 (61.7s)
CRC VERIFIED 77824/193224 (61.7s)
CRC VERIFIED 81920/193224 (61.7s)
CRC VERIFIED 86016/193224 (61.7s)
CRC VERIFIED 90112/193224 (61.8s)
CRC VERIFIED 94208/193224 (61.8s)
