STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (308.8s)
CRC VERIFIED 8192/193224 (308.8s)
CRC VERIFIED 12288/193224 (308.9s)
CRC VERIFIED 16384/193224 (308.9s)
CRC VERIFIED 20480/193224 (308.9s)
CRC VERIFIED 24576/193224 (308.9s)
CRC VERIFIED 28672/193224 (308.9s)
CRC VERIFIED 32768/193224 (309.0s)
CRC VERIFIED 36864/193224 (309.0s)
CRC VERIFIED 40960/193224 (309.0s)
CRC VERIFIED 45056/193224 (309.0s)
CRC VERIFIED 49152/193224 (309.0s)
CRC VERIFIED 53248/193224 (309.0s)
CRC VERIFIED 57344/193224 (309.0s)
CRC VERIFIED 61440/193224 (309.1s)
CRC VERIFIED 65536/193224 (309.1s)
CRC VERIFIED 69632/193224 (309.1s)
CRC VERIFIED 73728/193224 (309.1s)
CRC VERIFIED 77824/193224 (309.1s)
CRC VERIFIED 81920/193224 (309.1s)
CRC VERIFIED 86016/193224 (309.2s)
CRC VERIFIED 90112/193224 (309.2s)
CRC VERIFIED 94208/193224 (309.2s)
CRC VERIFIED 98304/193224 (309.2s)
CRC VERIFIED 102400/193224 (309.2s)
CRC VERIFIED 106496/193224 (309.2s)
CRC VERIFIED 110592/193224 (309.2s)
CRC VERIFIED 114688/193224 (309.3s)
CRC VERIFIED 118784/193224 (309.3s)
CRC VERIFIED 122880/193224 (309.3s)
CRC VERIFIED 126976/193224 (309.3s)
CRC VERIFIED 131072/193224 (309.3s)
CRC VERIFIED 135168/193224 (309.3s)
CRC VERIFIED 139264/193224 (309.4s)
CRC VERIFIED 143360/193224 (309.4s)
CRC VERIFIED 147456/193224 (309.4s)
CRC VERIFIED 151552/193224 (309.4s)
CRC VERIFIED 155648/193224 (309.4s)
